Nayakan
Ek Ruka Hua Faisla
Parinda
Kaththi
Do Bigha Zamin
Bahubali: The Beginning
Jaane Tu... Ya Jaane Na
Ek Doctor Ki Maut
Jab We Met
M.S. Dhoni: The Untold Stor
Piku
Stree
Queen
Special Chabbis
Don
Khakee
1 - Nenokkadine
Highway
Udta Punjab
Vicky Donor
Vaaranam Aayiram
My Name Is Khan
Haider
Do Ankhen Barah Haath
Ulidavaru Kandanthe
Magadheera
Satya
Aankhen
Peepli (Live)
Lucia
Qayamat Se Qayamat Tak
Shahid
The Tashkent Files
Kai po che!
The Ghazi Attack
Saala Khadoos
Baghban
Jolly LLB
Ayan
Maheshinte Prathikaram
Veer-Zaara
Lucifer
Roja
Padman
Lakshya
Uri: The Surgical Strike
Khosla Ka Ghosla!
Golmaal: Fun Unlimited
Delhi Belly
Jo Jeeta Wohi Sikandar
Aamir
Bangalore Days
Hum Dil De Chuke Sanam
Rockstar
Airlift
Mukkabaaz
Geetha Govindam
Aruvi
Parmanu: The Story of Pokhran
Garm Hava
Theeran Adhigaaram Ondru
Chak De! India
102 Not Out
Shatranj Ke Khilari
Lootera
Vikram Vedha
Rang De Basanti
Saaransh
Shaadi Mein Zaroor Aana
Thuppakki
Company
Wake Up Sid
Goodachari
Baazigar
Sarfarosh
Socha Na Tha
Masaan
Visaaranai
K.G.F: Chapter 1
Munna Bhai M.B.B.S.
Bombay
Monsoon Wedding
Baahubali 2: The Conclusion
Black Friday
Hungama
Maqbool
October
Amar Akbar Anthony
Ankhon Dekhi
Pizza
Arjun Reddy
Ship of Theseus
Ek Hasina Thi
Baby
Guzaarish
Chhoti Si Baat
Trapped
Yuva
Masoom
Earth
Rocket Singh: Salesman of the Year
Sivaji
Ratsasan
Guide
Rock On!!
Devdas
Barfi!
PK
Deewaar
Padosan
Raanjhanaa
Srimanthudu
Mudhalvan
Bommarillu
Talvar
Dangal
Chachi 420
Pyaasa
Paan Singh Tomar
Page 3
Andaz Apna Apna
Darr
Soodhu Kavvum
The Legend of Bhagat Singh
Apur Sansar
Maine Pyar Kiya
Gulaal
Baasha
3 Idiots
Samsara
Hichki
Andhadhun
Vaastav: The Reality
Mardaani
Okkadu
96
Dil Se..
Udaan
Dev.D
Rehnaa Hai Terre Dil Mein
Taare Zameen Par
Border
Manam
Vedam
Rangeela
Gangaajal
Rangitaranga
Bheja Fry
Zindagi Na Milegi Dobara
Chupke Chupke
Agneepath
Charlie
Bhaag Milkha Bhaag
Bajirao Mastani
Manichitrathazhu
Mughal-E-Azam
Chillar Party
Tanu Weds Manu Returns
Pather Panchali
Kal Ho Naa Ho
Jaane Bhi Do Yaaro
Bajrangi Bhaijaan
Super 30
Awaara
Dear Zindagi
Kesari
Madras Cafe
Pyaar Ka Punchnama
Gol Maal
Raid
Khuda Kay Liye
Ustad Hotel
I Am Kalam
Sanju
Nayak: The Real Hero
Guru
Once Upon a Time in Mumbaai
Dhuruvangal Pathinaaru
Drishyam
Vada Chennai
Sairat
24
Dil Chahta Hai
Dabba
Johnny Gaddaar
Newton
Sarkar
Anand
Article 15
Hum Aapke Hain Koun...!
Ugly
Mera Naam Joker
Mumbai Meri Jaan
Anniyan
Sholay
Ghilli
Detective Byomkesh Bakshy!
Kapoor & Sons
Oye Lucky! Lucky Oye!
Rangasthalam
Karwaan
Badhaai Ho
Water
Kaminey
Mahanati
Manorama Six Feet Under
Life in a Metro
Dilwale Dulhania Le Jayenge
Hera Pheri
Raman Raghav 2.0
Secret Superstar
Mother India
Eega
Badlapur
Pokiri
Anbe Sivam
Nil Battey Sannata
Mankatha
Chhichhore
Omkara
Badla
Aparajito
Hindi Medium
Jodhaa Akbar
Thalapathi
Vettaiyaadu Vilaiyaadu
Dum Laga Ke Haisha
Sparsh
Thani Oruvan
Manjhi: The Mountain Man
Ab Tak Chhappan
Dasvidaniya
Tumbbad
Ankur
Athadu
Stanley Ka Dabba
Ghajini
English Vinglish
OMG: Oh My God!
Neerja
Kaagaz Ke Phool
Gangs of Wasseypur
"Swades: We, the People"
Kahaani
Raazi
Khaleja
Jigarthanda
Premam
Mr. India
Dor
Peranbu
Kuch Kuch Hota Hai
Lagaan: Once Upon a Time in India
Pariyerum Perumal
A Wednesday
Iqbal
Kabhi Haan Kabhi Naa
Salaam Bombay!
Gully Boy
Bareilly Ki Barfi
Pink
Madaari
Ishqiya
Kannathil Muthamittal
Koshish
Black
Indian
Kabhi Khushi Kabhie Gham...
Hey Ram
Lage Raho Munna Bhai
Ghulam
